"accession","X20181107_18.053_1_1_track1.x","X20181107_18.053_10_1_track10.x","X20181107_18.053_11_1_track11.x","X20181107_18.053_12_1_track12.x","X20181107_18.053_2_1_track2.x","X20181107_18.053_3_1_track3.x","protein.x","pval_milieu.x","padj_milieu.x","Ratio_XIC$descr","Ratio_XIC$UF.YEL","X20181107_18.053_1_1_track1.y","X20181107_18.053_10_1_track10.y","X20181107_18.053_11_1_track11.y","X20181107_18.053_12_1_track12.y","X20181107_18.053_2_1_track2.y","X20181107_18.053_3_1_track3.y","protein.y","Goodness_of_fit","pval_milieu.y","padj_milieu.y","Ratio_PC$descr","Ratio_PC$UF.YEL"
"gi|659916762|emb|CDP49845.1|",7.4177514555838,7.94735617718469,8.09892072016285,8.40298965257936,7.86769975756972,7.99887401475216,"c181.a1.a1",0.153966084197849,0.286656854942905,"gi|659916762|emb|CDP49845.1| NAD(P)(+) transhydrogenase (AB-specific) [Propionibacterium freudenreichii subsp. freudenreichii]",0.427429809749895,12,7,8,8,11,8,"c181.a1.a1","OK",0.275418512638012,0.51622527273428,"gi|659916762|emb|CDP49845.1| NAD(P)(+) transhydrogenase (AB-specific) [Propionibacterium freudenreichii subsp. freudenreichii]",1.34782608695652
"gi|659916763|emb|CDP49846.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,1,6,4,"c344.a1.a1","OK",0.0221688832905479,0.0742060225114745,"gi|659916763|emb|CDP49846.1| NADH dehydrogenase [Propionibacterium freudenreichii subsp. freudenreichii]",3
"gi|659916782|emb|CDP49833.1|",6.55619492073208,6.60387324296316,6.4951659273138,6.54220750655889,5.87699594269503,5.63429902193811,"c672.a1.a1",0.13187914955986,0.258705458140416,"gi|659916782|emb|CDP49833.1| Methylase [Propionibacterium freudenreichii subsp. freudenreichii]",0.450019631660366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659916784|emb|CDP49835.1|",7.90060170235356,7.34782620347307,6.84204164145612,7.58605092900219,8.06639315744134,7.98345684168305,"b99.a1.a1",0.0320226511194743,0.120602775696871,"gi|659916784|emb|CDP49835.1| Sulfate adenylyltransferase, large subunit/ ATP-sulfurylase, subunit 1 (ATP:sulfate adenylyltransferase) [Propionibacterium freudenreichii subsp. freudenreichii]",4.31290974769578,22,5,6,4,21,21,"b99.a1.a1","OK",1.0627036976764e-08,2.70023348636867e-07,"gi|659916784|emb|CDP49835.1| Sulfate adenylyltransferase, large subunit/ ATP-sulfurylase, subunit 1 (ATP:sulfate adenylyltransferase) [Propionibacterium freudenreichii subsp. freudenreichii]",4.26666666666667
"gi|659916785|emb|CDP49836.1|",7.20023072480742,7.00671076252995,6.38978332160072,6.50743254030328,6.59125832218695,6.27510072618814,"c415.a1.a1",0.87777223559295,0.934343834976279,"gi|659916785|emb|CDP49836.1| Sulfate adenylyltransferase subunit 2 (Sulfate adenylate transferase) (SAT) (ATP-sulfurylase small subunit) (Mitomycin biosynthesis protein V) [Propionibacterium freudenreichii subsp. freudenreichii]",1.36756518509237,6,6,3,5,6,5,"c415.a1.a1","OK",0.589722756291902,0.832462173654477,"gi|659916785|emb|CDP49836.1| Sulfate adenylyltransferase subunit 2 (Sulfate adenylate transferase) (SAT) (ATP-sulfurylase small subunit) (Mitomycin biosynthesis protein V) [Propionibacterium freudenreichii subsp. freudenreichii]",1.21428571428571
"gi|659916787|emb|CDP49838.1|",7.48420788953638,7.82132445550732,8.31241353220804,8.41851817299987,7.82555468550405,7.87599578192106,"c116.a1.a1",0.10867770757776,0.227089054742562,"gi|659916787|emb|CDP49838.1| Sulfite reductase [ferredoxin] [Propionibacterium freudenreichii subsp. freudenreichii]",0.323347388687643,21,5,4,4,20,21,"c116.a1.a1","OK",3.64959489570984e-09,1.07374923510621e-07,"gi|659916787|emb|CDP49838.1| Sulfite reductase [ferredoxin] [Propionibacterium freudenreichii subsp. freudenreichii]",4.76923076923077
"gi|659916788|emb|CDP49839.1|",8.98528525005349,7.28278709102195,6.76748772995421,6.80026187621512,8.40548824159046,8.31483878897726,"b85.a1.a1",0.00379479966140126,0.0389993598576513,"gi|659916788|emb|CDP49839.1| Sulfate-binding protein precursor [Propionibacterium freudenreichii subsp. freudenreichii]",45.5423167258101,26,9,7,7,19,19,"b85.a1.a1","OK",7.31376623886391e-06,8.69871346281899e-05,"gi|659916788|emb|CDP49839.1| Sulfate-binding protein precursor [Propionibacterium freudenreichii subsp. freudenreichii]",2.78260869565217
"gi|659916818|emb|CDP49799.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0,0,3,1,"c449.a1.a1","OK",0.0127918489810903,0.0449726011347767,"gi|659916818|emb|CDP49799.1| TRNA processing ribonuclease BN [Propionibacterium freudenreichii subsp. freudenreichii]",8
"gi|659916820|emb|CDP49789.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1,2,1,9,10,"b91.a1.a1","OK",3.51316901613875e-07,6.13706712506737e-06,"gi|659916820|emb|CDP49789.1| Serine/threonine protein kinase [Propionibacterium freudenreichii subsp. freudenreichii]",8.25
"gi|659916821|emb|CDP49790.1|",7.92668538913993,7.76333077337798,7.12539030841721,7.2015817345695,7.58766850904063,7.02343998811242,"c209.a1.a1",0.675998733268577,0.770892282428849,"gi|659916821|emb|CDP49790.1| Penicillin-binding protein [Propionibacterium freudenreichii subsp. freudenreichii]",1.53273660069428,12,10,9,8,11,9,"c209.a1.a1","OK",0.514830167361877,0.769219024746301,"gi|659916821|emb|CDP49790.1| Penicillin-binding protein [Propionibacterium freudenreichii subsp. freudenreichii]",1.18518518518519
"gi|659916823|emb|CDP49792.1|",7.79398689327723,7.81139880076514,7.83585466335943,8.17096591569028,7.64922262318217,8.15969710414834,"c423.a1.a1",0.726330978044523,0.815100064100912,"gi|659916823|emb|CDP49792.1| Hypothetical protein PFCIRM129_02105 [Propionibacterium freudenreichii subsp. freudenreichii]",0.892448774424372,2,1,2,2,4,4,"c423.a1.a1","OK",0.192420067904713,0.41113560797139,"gi|659916823|emb|CDP49792.1| Hypothetical protein PFCIRM129_02105 [Propionibacterium freudenreichii subsp. freudenreichii]",2
"gi|659916824|emb|CDP49793.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,1,0,7,8,"c352.a1.a1","OK",0.000120948125421985,0.000965857173012712,"gi|659916824|emb|CDP49793.1| Forkhead-associated protein [Propionibacterium freudenreichii subsp. freudenreichii]",5.75
"gi|659916825|emb|CDP49794.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,2,1,"c290.a1.a1","OK",0.762865814438917,0.89793876854742,"gi|659916825|emb|CDP49794.1| Forkhead-associated protein [Propionibacterium freudenreichii subsp. freudenreichii]",1.2
"gi|659916830|emb|CDP49774.1|",7.11910863685131,7.34039428662004,7.74761524107011,7.73759940451091,7.22500167971827,7.25722423063366,"c372.a1.a1",0.0438633247392686,0.136472706243862,"gi|659916830|emb|CDP49774.1| GTP-binding protein typA/BipA (Tyrosine phosphorylated protein A) [Propionibacterium freudenreichii subsp. freudenreichii]",0.362519537887979,7,1,2,2,8,8,"c372.a1.a1","OK",0.000398353065225337,0.00258929492396469,"gi|659916830|emb|CDP49774.1| GTP-binding protein typA/BipA (Tyrosine phosphorylated protein A) [Propionibacterium freudenreichii subsp. freudenreichii]",4.6
"gi|659916834|emb|CDP49778.1|",8.26812780715762,8.04107110873315,7.64277219221251,7.62458996968971,7.58777535458175,7.6255514142211,"c237.a1.a1",0.834840255408093,0.90176837714967,"gi|659916834|emb|CDP49778.1| Uracil phosphoribosyltransferase (UMP pyrophosphorylase) (UPRTase) [Propionibacterium freudenreichii subsp. freudenreichii]",1.35900243631954,11,10,9,10,11,10,"c237.a1.a1","OK",0.700839017006299,0.87230885255173,"gi|659916834|emb|CDP49778.1| Uracil phosphoribosyltransferase (UMP pyrophosphorylase) (UPRTase) [Propionibacterium freudenreichii subsp. freudenreichii]",1.10344827586207
"gi|659916840|emb|CDP49784.1|",7.18767386382453,7.36333861144639,7.12742787640226,6.8015236385076,6.40982836484113,6.21928780935679,"c483.a1.a1",0.219350399584061,0.360281477330289,"gi|659916840|emb|CDP49784.1| Hypothetical protein PFCIRM129_02060 [Propionibacterium freudenreichii subsp. freudenreichii]",0.458392942044293,4,5,4,4,4,3,"c483.a1.a1","OK",0.682917541491185,0.863373763439668,"gi|659916840|emb|CDP49784.1| Hypothetical protein PFCIRM129_02060 [Propionibacterium freudenreichii subsp. freudenreichii]",0.846153846153846
"gi|659916842|emb|CDP49786.1|",6.68831466542453,6.82540192129877,6.99574184184829,8.0384616114529,5.9526952641684,7.92826205784175,"c222.a1.a1",0.566825607342409,0.690987407045984,"gi|659916842|emb|CDP49786.1| Ferrous iron uptake protein B 9.A.8.1.x [Propionibacterium freudenreichii subsp. freudenreichii]",0.719490988611036,8,3,3,2,11,11,"c222.a1.a1","OK",0.000230375495498572,0.00160974877479627,"gi|659916842|emb|CDP49786.1| Ferrous iron uptake protein B 9.A.8.1.x [Propionibacterium freudenreichii subsp. freudenreichii]",3.75
"gi|659916844|emb|CDP49788.1|",8.27897469037126,8.63689384081349,8.58157743256795,8.7752199963029,8.40816988750519,7.93095414246253,"b89.a1.a1",0.0406080854777516,0.132647652100878,"gi|659916844|emb|CDP49788.1| Galactokinase [Propionibacterium freudenreichii subsp. freudenreichii]",0.376597025347977,22,8,10,6,19,20,"b89.a1.a1","OK",4.47728744463856e-05,0.000404372702870425,"gi|659916844|emb|CDP49788.1| Galactokinase [Propionibacterium freudenreichii subsp. freudenreichii]",2.54166666666667
"gi|659916848|emb|CDP49713.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,1,3,3,"c505.a1.a1","OK",0.00666431790035993,0.0255161212760356,"gi|659916848|emb|CDP49713.1| Hypothetical membrane protein [Propionibacterium freudenreichii subsp. freudenreichii]",9
"gi|659916852|emb|CDP49717.1|",7.82788372726739,6.84280646600255,6.41669920410997,6.27458671369339,7.49691667234635,7.33709876818433,"c416.a1.a1",0.00958142877703515,0.0645485728137105,"gi|659916852|emb|CDP49717.1| Inorganic pyrophosphatase [Propionibacterium freudenreichii subsp. freudenreichii]",10.5112841053629,6,4,3,2,3,2,"c416.a1.a1","OK",0.654450842450075,0.856763515057593,"gi|659916852|emb|CDP49717.1| Inorganic pyrophosphatase [Propionibacterium freudenreichii subsp. freudenreichii]",1.22222222222222
"gi|659916853|emb|CDP49718.1|",7.94256821741259,8.34985474982849,8.05151591676983,7.97065354501118,7.85727928106389,7.5522754770092,"c233.a1.a1",0.108898127311437,0.227089054742562,"gi|659916853|emb|CDP49718.1| carboxypeptidase (serine-type D-Ala-D-Ala carboxypeptidase) (D-alanyl-D-alanine-carboxypeptidase) [Propionibacterium freudenreichii subsp. freudenreichii]",0.454271208700303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659916854|emb|CDP49719.1|",6.89972128659075,7.70228928021903,7.28723612699139,7.31502249756448,5.74997667003379,5.94951029468124,"c521.a1.a1",0.0311528411375165,0.120491343649564,"gi|659916854|emb|CDP49719.1| Hypothetical protein PFCIRM129_01720 [Propionibacterium freudenreichii subsp. freudenreichii]",0.103864707834166,4,4,4,4,2,3,"c521.a1.a1","OK",0.511968739546085,0.768825364769318,"gi|659916854|emb|CDP49719.1| Hypothetical protein PFCIRM129_01720 [Propionibacterium freudenreichii subsp. freudenreichii]",0.75
"gi|659916856|emb|CDP49721.1|",7.71674533873637,8.00703207752321,7.42135635573255,7.23748496274411,7.44949529051909,7.98059434344423,"c411.a1.a1",0.595175968149659,0.707840893906857,"gi|659916856|emb|CDP49721.1| hypoxanthine phosphoribosyltransferase [Propionibacterium freudenreichii subsp. freudenreichii]",1.21043438530785,7,5,4,5,6,6,"c411.a1.a1","OK",0.383171688339026,0.657033661906489,"gi|659916856|emb|CDP49721.1| hypoxanthine phosphoribosyltransferase [Propionibacterium freudenreichii subsp. freudenreichii]",1.35714285714286
"gi|659916858|emb|CDP49723.1|",7.90725363392398,7.02258923926573,6.87424863813139,6.60726394260737,7.05428939804796,6.9047817805633,"c278.a1.a1",0.246815154202756,0.390028885653738,"gi|659916858|emb|CDP49723.1| GTP cyclohydrolase I (GTP-CH-I) [Propionibacterium freudenreichii subsp. freudenreichii]",4.53747448933102,12,4,4,3,10,10,"c278.a1.a1","OK",0.00106659362980163,0.00584535136332459,"gi|659916858|emb|CDP49723.1| GTP cyclohydrolase I (GTP-CH-I) [Propionibacterium freudenreichii subsp. freudenreichii]",2.90909090909091
"gi|659916874|emb|CDP49739.1|",7.75406132615424,7.83437162750688,7.78044390129598,7.69641265978966,7.76962797607179,7.18627469826341,"c378.a1.a1",0.364461319441791,0.51548120318839,"gi|659916874|emb|CDP49739.1| DNA integrity scanning protein disA [Propionibacterium freudenreichii subsp. freudenreichii]",0.734382105004419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659916875|emb|CDP49740.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,1,1,10,11,"c304.a1.a1","OK",1.60556979748423e-08,3.67346367924635e-07,"gi|659916875|emb|CDP49740.1| DNA repair protein [Propionibacterium freudenreichii subsp. freudenreichii]",16
"gi|659916876|emb|CDP49741.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,1,2,5,6,"c310.a1.a1","OK",0.00113888404707419,0.00600600171994785,"gi|659916876|emb|CDP49741.1| Hypothetical protein PFCIRM129_01830 [Propionibacterium freudenreichii subsp. freudenreichii]",4.2
"gi|659916880|emb|CDP49745.1|",8.36509292373334,8.00206706210097,7.74106796545675,7.72491175631923,8.35026752281395,7.92862086027,"c189.a1.a1",0.0811124079092459,0.195887024976059,"gi|659916880|emb|CDP49745.1| Aspartate-semialdehyde dehydrogenase (Semialdehyde dehydrogenase) [Propionibacterium freudenreichii subsp. freudenreichii]",2.59122089846245,15,12,11,12,12,13,"c189.a1.a1","OK",0.563558218094817,0.803645520191334,"gi|659916880|emb|CDP49745.1| Aspartate-semialdehyde dehydrogenase (Semialdehyde dehydrogenase) [Propionibacterium freudenreichii subsp. freudenreichii]",1.14285714285714
"gi|659916884|emb|CDP49749.1|",7.40615422784086,8.32776941781334,7.96754809165847,7.85800055453706,6.26478288718163,6.14787935069752,"c325.a1.a1",0.0274297602355735,0.116715274427093,"gi|659916884|emb|CDP49749.1| phosphoglycerate mutase/Fructose-2,6-bisphosphatase [Propionibacterium freudenreichii subsp. freudenreichii]",0.0760645106750403,11,12,12,12,8,7,"c325.a1.a1","OK",0.203095944233981,0.428417482365266,"gi|659916884|emb|CDP49749.1| phosphoglycerate mutase/Fructose-2,6-bisphosphatase [Propionibacterium freudenreichii subsp. freudenreichii]",0.722222222222222
"gi|659916886|emb|CDP49751.1|",7.60678965311786,7.85723117820069,7.75569192111972,7.58250258384236,7.74751542525371,7.66031102465681,"c283.a1.a1",0.54007794554334,0.667922483377271,"gi|659916886|emb|CDP49751.1| secreted glycosyl hydrolase [Propionibacterium freudenreichii subsp. freudenreichii]",0.849848848095314,10,5,6,5,9,10,"c283.a1.a1","OK",0.0509590279364933,0.146835549569586,"gi|659916886|emb|CDP49751.1| secreted glycosyl hydrolase [Propionibacterium freudenreichii subsp. freudenreichii]",1.8125
"gi|659916895|emb|CDP49760.1|",8.01463188554683,7.92313576963415,7.72686577470542,7.50018680875843,8.05084036875111,7.61255802747446,"c234.a1.a1",0.398123726440124,0.537834691127556,"gi|659916895|emb|CDP49760.1| binding protein of phosphate ABC transporter (BP:MOI:undef:phosphate) [Propionibacterium freudenreichii subsp. freudenreichii]",1.52207997542054,9,10,9,8,9,8,"c234.a1.a1","OK",0.89074257966072,0.915303496379307,"gi|659916895|emb|CDP49760.1| binding protein of phosphate ABC transporter (BP:MOI:undef:phosphate) [Propionibacterium freudenreichii subsp. freudenreichii]",0.962962962962963
"gi|659916898|emb|CDP49763.1|",7.00710933680763,6.19259509261154,5.93032076116496,6.9471391975884,5.87486764466293,5.70231505592105,"c398.a1.a1",0.766859539377738,0.846189836554745,"gi|659916898|emb|CDP49763.1| GCN5-related N-acetyltransferase [Propionibacterium freudenreichii subsp. freudenreichii]",1.0137357806931,8,2,5,2,8,6,"c398.a1.a1","OK",0.0177179004588185,0.0603921119297533,"gi|659916898|emb|CDP49763.1| GCN5-related N-acetyltransferase [Propionibacterium freudenreichii subsp. freudenreichii]",2.44444444444444
"gi|659916902|emb|CDP49767.1|",8.40852247476356,8.37792550985245,8.12741102005314,8.02504845086352,8.40229281776624,7.86334140624753,"c150.a1.a1",0.829800834262096,0.898219930533178,"gi|659916902|emb|CDP49767.1| inositol-1-phosphate synthase [Propionibacterium freudenreichii subsp. freudenreichii]",1.21495851678419,20,19,18,17,18,18,"c150.a1.a1","OK",0.848762384574291,0.906175214242872,"gi|659916902|emb|CDP49767.1| inositol-1-phosphate synthase [Propionibacterium freudenreichii subsp. freudenreichii]",1.03703703703704
"gi|659916903|emb|CDP49768.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,0,3,2,"c569.a1.a1","OK",0.0127918489810903,0.0449726011347767,"gi|659916903|emb|CDP49768.1| Transcriptional regulatory protein [Propionibacterium freudenreichii subsp. freudenreichii]",8
"gi|659916913|emb|CDP49708.1|",7.40397943462666,7.86112274161595,7.72655031436956,7.83131207915469,7.3500776875288,7.21224716064428,"c491.a1.a1",0.00231291634849168,0.0365563672687697,"gi|659916913|emb|CDP49708.1| D-serine/D-alanine/glycine transporter [Propionibacterium freudenreichii subsp. freudenreichii]",0.330594594259239,5,4,3,4,4,4,"c491.a1.a1","OK",0.682917541491183,0.863373763439668,"gi|659916913|emb|CDP49708.1| D-serine/D-alanine/glycine transporter [Propionibacterium freudenreichii subsp. freudenreichii]",1.18181818181818
