"accession","X20181107_18.053_13_1_track13.x","X20181107_18.053_14_1_track14.x","X20181107_18.053_15_1_track15.x","X20181107_18.053_4_1_track4.x","X20181107_18.053_5_1_track5.x","X20181107_18.053_6_1_track6.x","protein.x","pval_milieu.x","padj_milieu.x","Ratio_XIC$descr","Ratio_XIC$UF.YEL","X20181107_18.053_13_1_track13.y","X20181107_18.053_14_1_track14.y","X20181107_18.053_15_1_track15.y","X20181107_18.053_4_1_track4.y","X20181107_18.053_5_1_track5.y","X20181107_18.053_6_1_track6.y","protein.y","Goodness_of_fit","pval_milieu.y","padj_milieu.y","Ratio_PC$descr","Ratio_PC$UF.YEL"
"gi|659916762|emb|CDP49845.1|",8.61326473116957,8.72925642857374,8.67242143513345,8.18663715155787,8.35213235875045,8.20925496955699,"c181.a1.a1",0.00238268799016623,0.00738633276951533,"gi|659916762|emb|CDP49845.1| NAD(P)(+) transhydrogenase (AB-specific) [Propionibacterium freudenreichii subsp. freudenreichii]",0.381507033699862,15,12,13,16,15,14,"c181.a1.a1","OK",0.587486009080461,0.941065763523601,"gi|659916762|emb|CDP49845.1| NAD(P)(+) transhydrogenase (AB-specific) [Propionibacterium freudenreichii subsp. freudenreichii]",1.125
"gi|659916763|emb|CDP49846.1|",8.66735513057031,8.55743124629627,8.5808324360503,7.64071892169494,7.78240628332328,7.74156583543176,"c344.a1.a1",8.14434991344153e-05,0.00104403674706579,"gi|659916763|emb|CDP49846.1| NADH dehydrogenase [Propionibacterium freudenreichii subsp. freudenreichii]",0.132145928466865,6,5,3,8,8,8,"c344.a1.a1","OK",0.102718046347153,0.388950212834264,"gi|659916763|emb|CDP49846.1| NADH dehydrogenase [Propionibacterium freudenreichii subsp. freudenreichii]",1.71428571428571
"gi|659916782|emb|CDP49833.1|",7.04743697304078,7.13661179514884,7.04112257004588,6.74466062811536,6.72959381228195,6.80362059596373,"c672.a1.a1",0.00117104579724514,0.00474541434177769,"gi|659916782|emb|CDP49833.1| Methylase [Propionibacterium freudenreichii subsp. freudenreichii]",0.482157243449314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659916783|emb|CDP49834.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,3,2,1,"c596.a1.a1","OK",0.0465264358991813,0.217939620790902,"gi|659916783|emb|CDP49834.1| Ribose-5-phosphate isomerase 3 [Propionibacterium freudenreichii subsp. freudenreichii]",6
"gi|659916784|emb|CDP49835.1|",7.98634482645095,7.87707125322309,7.86214240487113,8.4230635498635,8.48254605728919,8.54516272482889,"b99.a1.a1",0.000399942323616417,0.00262772274686428,"gi|659916784|emb|CDP49835.1| Sulfate adenylyltransferase, large subunit/ ATP-sulfurylase, subunit 1 (ATP:sulfate adenylyltransferase) [Propionibacterium freudenreichii subsp. freudenreichii]",3.75240224912755,13,14,14,22,21,21,"b99.a1.a1","OK",0.0242148401900007,0.137560900653834,"gi|659916784|emb|CDP49835.1| Sulfate adenylyltransferase, large subunit/ ATP-sulfurylase, subunit 1 (ATP:sulfate adenylyltransferase) [Propionibacterium freudenreichii subsp. freudenreichii]",1.5609756097561
"gi|659916785|emb|CDP49836.1|",7.44441288684015,7.43640240588678,7.49394141723552,7.78109413059358,7.61812642449317,7.85760393012762,"c415.a1.a1",0.015672487076172,0.0297154189211824,"gi|659916785|emb|CDP49836.1| Sulfate adenylyltransferase subunit 2 (Sulfate adenylate transferase) (SAT) (ATP-sulfurylase small subunit) (Mitomycin biosynthesis protein V) [Propionibacterium freudenreichii subsp. freudenreichii]",2.01521929826945,6,5,6,7,6,7,"c415.a1.a1","OK",0.621682089072663,0.941065763523601,"gi|659916785|emb|CDP49836.1| Sulfate adenylyltransferase subunit 2 (Sulfate adenylate transferase) (SAT) (ATP-sulfurylase small subunit) (Mitomycin biosynthesis protein V) [Propionibacterium freudenreichii subsp. freudenreichii]",1.17647058823529
"gi|659916787|emb|CDP49838.1|",8.87196617940277,8.69504272974592,8.96881766926506,7.99035314874335,8.12797371089045,8.34472346086167,"c116.a1.a1",0.00613108942126635,0.0141311354690897,"gi|659916787|emb|CDP49838.1| Sulfite reductase [ferredoxin] [Propionibacterium freudenreichii subsp. freudenreichii]",0.208780817812851,10,8,8,20,21,20,"c116.a1.a1","OK",0.000141113056736644,0.0024307862031409,"gi|659916787|emb|CDP49838.1| Sulfite reductase [ferredoxin] [Propionibacterium freudenreichii subsp. freudenreichii]",2.34615384615385
"gi|659916788|emb|CDP49839.1|",7.60453234949782,7.54545882283179,7.61553634192973,9.2607593857961,9.17097293289433,9.09813373093237,"b85.a1.a1",6.7537318354681e-06,0.000494115746962739,"gi|659916788|emb|CDP49839.1| Sulfate-binding protein precursor [Propionibacterium freudenreichii subsp. freudenreichii]",39.0976620832396,8,5,9,27,21,20,"b85.a1.a1","OK",6.8400757867217e-07,3.32054588191762e-05,"gi|659916788|emb|CDP49839.1| Sulfate-binding protein precursor [Propionibacterium freudenreichii subsp. freudenreichii]",3.09090909090909
"gi|659916805|emb|CDP49813.1|",6.72418630297382,6.25145801831434,6.4945241319472,7.25515174988518,7.33949406447562,7.48699147323932,"c632.a1.a1",0.00464350406880517,0.0117773021274321,"gi|659916805|emb|CDP49813.1| Major facilitator super family MSF1 [Propionibacterium freudenreichii subsp. freudenreichii]",6.91142313953589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659916818|emb|CDP49799.1|",6.94495692638646,7.05530059487183,7.25937720484738,7.28531607391533,7.37899705629935,7.36970736281891,"c449.a1.a1",0.0560042849273101,0.0881285701901834,"gi|659916818|emb|CDP49799.1| TRNA processing ribonuclease BN [Propionibacterium freudenreichii subsp. freudenreichii]",1.73842876970868,5,5,6,6,6,6,"c449.a1.a1","OK",0.73152609234986,0.941065763523601,"gi|659916818|emb|CDP49799.1| TRNA processing ribonuclease BN [Propionibacterium freudenreichii subsp. freudenreichii]",1.125
